Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Rt,Vishay-Dale,CRCW040239K2FKED,1,0.01,3,Resistance: 39.2 kΩ  Tolerance: 1.0%  Power: 63 mW  
U1,Texas Instruments,LM5146RGYR,1,1.581,24.75,
Cbst,MuRata,GRM188R61E104KA01D,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 25 V  ESR: 30 mΩ  Package: 0603  
Ccomp3,MuRata,GRM155R71H561KA01D,1,0.01,3,Cap: 560 pF  Total Derated Cap: 560 pF  VDC: 50 V  ESR: 1 mΩ  Package: 0402  
Rvin,Vishay-Dale,CRCW06032R10FKEA,1,0.01,4.68,Resistance: 2.1 Ω  Tolerance: 1.0%  Power: 100 mW  
Rcomp2,Vishay-Dale,CRCW040263R4FKED,1,0.01,3,Resistance: 63.4 Ω  Tolerance: 1.0%  Power: 63 mW  
Ruv2,Vishay-Dale,CRCW06038K25FKEA,1,0.01,4.68,Resistance: 8.25 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rfbb,Vishay-Dale,CRCW04021K91FKED,1,0.01,3,Resistance: 1.91 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rcomp1,Vishay-Dale,CRCW04021K96FKED,1,0.01,3,Resistance: 1.96 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cvin,TDK,C1608X7S2A104K080AB,1,0.03,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 100 V  ESR: 49.59 mΩ  Package: 0603  
Cilim,MuRata,GRM1885C2A100JA01D,1,0.02,4.68,Cap: 10 pF  Total Derated Cap: 10 pF  VDC: 100 V  ESR: 1 mΩ  Package: 0603  
Ccomp2,TDK,CGA2B2X7R1H681K050BA,1,0.01,3,Cap: 680 pF  Total Derated Cap: 680 pF  VDC: 50 V  ESR: 3.08 Ω  Package: 0402  
M1,Texas Instruments,CSD19502Q5B,2,0.74,9,VdsMax: 80 V  IdsMax: 200 Amps  
L1,Coilcraft,XAL1580-302MEB,1,2.4,313.04,L: 3 µH  DCR: 2.6 mΩ  IDC: 34.4 A  
Cin,MuRata,GRM32ER72A225KA35L,3,0.7,14.7,Cap: 2.2 µF  Total Derated Cap: 3.3 µF  VDC: 100 V  ESR: 7 mΩ  Package: 1210  
Css,MuRata,GRM155R71C563KA88D,1,0.01,3,Cap: 56 nF  Total Derated Cap: 56 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
M2,Infineon Technologies,BSC037N08NS5ATMA1,2,1.69,55.13,VdsMax: 80 V  IdsMax: 200 Amps  
Rilim,Vishay-Dale,CRCW0603619RFKEA,1,0.01,4.68,Resistance: 619 Ω  Tolerance: 1.0%  Power: 100 mW  
Cout,MuRata,GRM32ER61C226ME20L,2,0.67,14.7,Cap: 22 µF  Total Derated Cap: 36 µF  VDC: 16 V  ESR: 2 mΩ  Package: 1210  
Cvcc,TDK,C1005X5R1V225K050BC,1,0.06,3,Cap: 2.2 µF  Total Derated Cap: 2.2 µF  VDC: 35 V  ESR: 1 mΩ  Package: 0402  
Ruv1,Vishay-Dale,CRCW040269K8FKED,1,0.01,3,Resistance: 69.8 kΩ  Tolerance: 1.0%  Power: 63 mW  
Ccomp1,MuRata,GRM155R71C822KA01D,1,0.01,3,Cap: 8.2 nF  Total Derated Cap: 8.2 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Rfbt,Yageo,RC0603FR-0718KL,1,0.01,4.68,Resistance: 18 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rpgood,Yageo,RC0603FR-0720KL,1,0.01,4.68,Resistance: 20 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rvcc,Yageo,RC0603FR-0720KL,1,0.01,4.68,Resistance: 20 kΩ  Tolerance: 1.0%  Power: 100 mW  
